"","ID","Height","FreshLeafMass","DryLeafMass","LDMC","LeafArea","SLA","ShootDryBiomass","RootDryBiomass","TotalBiomass","RMF","RootVol","RootDensity","CoarseRootDiameter","RootLength","FineRootLength","CoarseRootLength","CoarseRootSpecLength","FineRootSpecLength","PropFineRoots"
"1","ACMI",3.96,0.08642,0.011526,0.1348979062,3.5382,309.65406794,0.0426,0.0368,0.0794,0.4533046158,1.5636,0.0229264918,0.47932,910.71484,766.11732,144.59752,4279.626113,21858.609452,0.8374088356
"2","AGSP",4.03333333333333,0.0593883333333333,0.0124516666666667,0.2083536015,2.24133333333333,182.401380633333,0.136108333333333,0.0868333333333333,0.222941666666667,0.3918276545,2.36733333333333,0.0371741335,0.489016666666667,1430.12376666667,1177.19938333333,252.924383333333,2926.4440085,13780.0250865,0.802996617833333
"3","AICA",4.71666666666667,0.00290666666666667,0.000485,0.168191308,0.123833333333333,269.5568361,0.00229833333333333,0.00254166666666667,0.00484,0.457188208166667,1.50816666666667,0.001644597,1.07363333333333,165.814183333333,93.3229333333333,72.49125,52325.8380411667,60374.8590983333,0.5619898325
"4","AMME",13.25,0.071,0.0103716666666667,0.1459317695,1.9285,187.509775816667,0.237333333333333,0.0876666666666667,0.325,0.269022370666667,2.77866666666667,0.0317780826666667,0.527416666666667,1398.81481666667,1112.63048333333,286.184333333333,3309.72433283333,13113.9078636667,0.785204490666667
"5","ANAR",3.68,0.031816,0.004562,0.1454426476,1.5552,348.65924456,0.061542,0.0464,0.107942,0.4100206154,1.677,0.0258521418,0.4391,1184.22276,1023.1221,161.10066,3971.6760228,24281.163134,0.8599243274
"6","ANARp",1.41666666666667,0.0173266666666667,0.002345,0.138618155166667,0.780666666666667,334.53396265,0.0120983333333333,0.009275,0.0213733333333333,0.410299341,1.4675,0.006902007,0.6913,430.945333333333,339.311733333333,91.6336,12441.3071188333,40175.95526,0.7628539895
"7","APOC",3.28333333333333,0.0411383333333333,0.00508666666666667,0.129989891666667,1.5075,303.00286255,0.0996433333333333,0.0385,0.138143333333333,0.278895373833333,2.75983333333333,0.0137400555,1.05836666666667,353.325983333333,231.567733333333,121.75825,3781.1464765,7116.31940066667,0.627971850666667
"8","AVBA",14.9166666666667,0.0666666666666667,0.015295,0.228480072333333,4.10866666666667,273.1988157,0.0346666666666667,0.073,0.103,0.7100314236,1.67133333333333,0.0461628584,0.479683333333333,898.06765,710.561216666667,187.506433333333,2554.2350408,10583.0773224,0.7933028545
"9","AVFA",23.4666666666667,0.1105,0.0192066666666667,0.176752129333333,6.68033333333333,351.329153433333,0.065,0.156845,0.221845,0.693132982833333,2.9355,0.0531880851666667,0.639766666666667,917.923966666667,679.168833333333,238.755133333333,1689.5541219,5184.8805095,0.736325595333333
"10","BRCA",22.15,0.0518333333333333,0.0102433333333333,0.195452837833333,3.33983333333333,333.598774316667,0.0243333333333333,0.039885,0.0642183333333333,0.614550672333333,1.192,0.0328823501666667,0.46075,760.206183333333,640.759166666667,119.447016666667,3333.32631733333,19393.830784,0.833546931666667
"11","BRDI",16.4833333333333,0.091,0.0143716666666667,0.156314540166667,5.46433333333333,391.758014066667,0.0567166666666667,0.143735,0.200451666666667,0.728337340333333,3.386,0.0413491445,0.86995,564.5173,407.9535,156.5638,1364.3556249,3679.44621033333,0.715030173
"12","BRHO",10.4833333333333,0.0221358333333333,0.00359833333333333,0.1702056995,1.539,427.816855966667,0.0125983333333333,0.0199866666666667,0.032585,0.618561570833333,1.393,0.012538975,0.742116666666667,320.874116666667,226.829266666667,94.04485,8162.90739566667,20715.4921705,0.698047331166667
"13","BRHOp",18.4333333333333,0.057,0.0108666666666667,0.190339869333333,3.523,332.1870166,0.048,0.0738066666666667,0.121806666666667,0.610098218666667,2.36,0.0308122786666667,0.601433333333333,829.054266666667,646.465933333333,182.588333333333,2615.821868,9442.23758866667,0.779749039333333
"14","BRMA",10.72,0.0273254,0.00469,0.1840869322,2.051,428.3766952,0.014638,0.035658,0.050296,0.7198193282,1.395,0.0230014206,0.5915,528.6583,409.69206,118.96624,4748.535893,16783.4263294,0.7658971554
"15","BRMI",4.85,0.09126425,0.002475,0.081920296125,1.38825,563.806018225,0.0150075,0.0125925,0.0276,0.4503854525,1.4785,0.0083904135,0.752325,356.18625,254.93275,101.2535,10148.429519125,23665.2921475,0.688882418375
"16","BRNIf",2.56666666666667,0.0696716666666667,0.0171066666666667,0.240240978666667,2.39083333333333,146.803091816667,0.064,0.0453333333333333,0.109333333333333,0.416199778333333,1.85616666666667,0.0248141751666667,0.5474,864.649416666667,703.087383333333,161.562033333333,3754.36703733333,16363.2293466667,0.7944355325
"17","BRNIp",4.58333333333333,0.0993283333333333,0.01673,0.159649693,2.9685,213.34705795,0.0595283333333333,0.0355,0.0950283333333333,0.394164137333333,1.97216666666667,0.0181220718333333,0.676983333333333,703.441633333333,560.366066666667,143.075566666667,5252.79744916667,19661.7268183333,0.757287983666667
"18","CAAT",0.833333333333333,0.00105,9.9e-05,0.0971906693333333,0.0543333333333333,567.503556166667,0.00159333333333333,0.00027,0.00186333333333333,0.128248421666667,2.357,0.00011217805,1.53403333333333,127.803933333333,61.0146,66.7893333333333,2022016.59723333,2069618.9236,0.478198961666667
"19","CAPY",0.833333333333333,0.143832333333333,0.00318,0.0666698205833333,0.67675,216.2641766,0.01578,0.0214766666666667,0.0372566666666667,0.432550046833333,1.2875,0.0158932801666667,0.765616666666667,301.865591666667,202.510333333333,99.3552583333333,10563.211206675,19520.0042894167,0.652400102333333
"20","CEGL",4.33333333333333,0.0540733333333333,0.00703833333333333,0.13677327,2.16366666666667,304.455743683333,0.117798333333333,0.0715,0.189298333333333,0.372369735833333,2.4305,0.0297420595,0.5363,1058.81598333333,830.974783333333,227.8412,3200.60715466667,11987.5667796667,0.786848153333333
"21","CESO",2.82,0.062806,0.00875,0.1389556136,2.0956,242.49588714,0.0644,0.082,0.1464,0.5627138678,2.5802,0.0316104776,0.5148,1248.44694,919.10186,329.34508,4087.2825208,11761.279936,0.7359193372
"22","CHSU",2.4,0.0213125,0.0032675,0.14984186925,0.8605,268.5314487,0.05425,0.045,0.09925,0.46664614325,1.5875,0.026991126,0.403375,1212.092475,1044.743775,167.3487,3737.09992775,27646.101955,0.86731103575
"23","CLPUf",1.63333333333333,0.010104,0.00105333333333333,0.102572357666667,0.398666666666667,386.487382833333,0.00593,0.00386333333333333,0.00979333333333333,0.400682805,1.12433333333333,0.003418379,0.6911,304.5112,226.606866666667,77.9043333333333,20542.0119233333,59727.8272466667,0.743451219666667
"24","CLPUp",5.9,0.019174,0.002306,0.1191365798,0.7272,313.17178352,0.022498,0.0242,0.046698,0.5321829218,1.7494,0.013627365,0.65032,652.67236,532.44088,120.23148,6134.4112626,29201.870712,0.7808314766
"25","COAR",4.96666666666667,0.0437116666666667,0.006025,0.140310499833333,1.8405,312.25170915,0.0496666666666667,0.08242,0.132086666666667,0.583541188833333,1.87783333333333,0.042803265,0.794383333333333,401.02485,243.134866666667,157.889983333333,2775.36796216667,3704.9818465,0.597345454166667
"26","CYDA",9.43333333333333,0.0331693333333333,0.00444,0.134427346833333,2.48416666666667,566.879411666667,0.010095,0.0177016666666667,0.0277966666666667,0.6224920955,1.4065,0.0123796111666667,0.670933333333333,442.8261,338.259933333333,104.566166666667,7134.0801045,21169.7226933333,0.730651043166667
"27","Crassula",0.983333333333333,0.000398333333333333,2.88333333333333e-05,0.0760291333333333,0.0106666666666667,382.2252859,0.008125,0.0005155,0.0086405,0.0530561168333333,2.158,0.000244867155,1.49608333333333,123.883066666667,67.2852833333333,56.5977833333333,3496546.64658167,3506624.07015667,0.535711657
"28","DICA",2.36,0.0359418,0.004954,0.1349537266,1.141,248.66422228,0.0286,0.014172,0.042772,0.3247251418,1.2994,0.010463776,0.75458,305.79188,202.09262,103.69926,10525.6987294,19621.7817246,0.645430605
"29","ERBO",3.675,0.0675075,0.01881,0.2765868985,2.24975,120.72100175,0.2425,0.10125,0.34375,0.300271013,2.2165,0.045889197,0.462125,1328.738375,1085.8485,242.889875,2399.24217925,10730.113494,0.816331222
"30","ERCI",1.78333333333333,0.03632,0.01084,0.298272578333333,1.24333333333333,116.407463748333,0.16046,0.0786666666666667,0.239126666666667,0.318935411,2.01666666666667,0.037706714,0.557233333333333,830.272066666667,661.506233333333,168.765833333333,2461.8496775,10164.9356806667,0.793721778333333
"31","ERMO",4.775,0.1038625,0.0217325,0.2032333685,4.94275,262.85025915,0.1057925,0.0679275,0.17372,0.35506894975,1.69125,0.037501776,0.47915,1163.8096,982.132375,181.677225,4228.77241625,18200.86511,0.829196244
"32","ESCA",4.125,0.0085895,0.0014125,0.168206086,0.5295,375.4130402,0.01338,0.0060225,0.0194025,0.3090833235,1.20075,0.00495076225,0.7668,275.298225,193.883925,81.4143,17054.46204525,34574.8342725,0.6802006455
"33","FEMI",13.6,0.009452,0.002255,0.268169292833333,0.560333333333333,260.253957633333,0.0233416666666667,0.0190283333333333,0.04237,0.475069709333333,1.513,0.0133622733333333,0.703633333333333,402.110983333333,293.412833333333,108.69815,6381.49042766667,19964.1977033333,0.716180600333333
"34","FEMY",11.65,0.00690033333333333,0.001275,0.188297907833333,0.407666666666667,333.337547583333,0.0306666666666667,0.0353666666666667,0.0660333333333333,0.535838388333333,1.73783333333333,0.0205170866666667,0.703766666666667,450.315433333333,318.178866666667,132.136566666667,4323.99550816667,10855.6794833333,0.700685343
"35","FIGA",1.83333333333333,1.078,0.000126666666666667,9.17833666666667e-05,0.091,1418.39506173333,0.00219,0.00128666666666667,0.00347666666666667,0.391004510333333,1.20666666666667,0.00108498866666667,0.964633333333333,166.021866666667,87.5956666666667,78.4262,62832.9993833333,71592.16249,0.522697664
"36","GAAP",7.2,0.01712,0.00148,0.086448598,0.441,297.972973,0.035,0.024,0.059,0.406779661,1.439,0.016678249,0.5126,697.2206,581.6497,115.5709,4815.454167,24235.40417,0.834240555
"37","GEDI",4.7,0.0786075,0.022285,0.280457825,4.021,184.2363047,0.10143,0.07725,0.17868,0.42911088625,2.16325,0.03435268125,0.5222,1229.6052,1019.2761,210.3291,3010.17285925,13809.2157965,0.80007534075
"38","GEMO",4.78,0.09507,0.02726,0.2862045292,4.6194,173.89299936,0.141376,0.059,0.200376,0.2964295126,2.1024,0.0276133014,0.47448,1233.44154,1008.10288,225.33866,3956.9970154,18519.335114,0.8125908376
"39","GITRf",2.5,0.01038,0.00106,0.102119461,0.389,366.9811321,0.00582,0.009165,0.014985,0.611611612,1.018,0.009002947,0.5325,457.1534,367.0181,90.1353,9834.729951,40045.6192,0.802833578
