Taxon,Height..cm._mean,Height..cm._sd,Fresh.leaf.mass..g._mean,Fresh.leaf.mass..g._sd,Dry.leaf.mass..g._mean,Dry.leaf.mass..g._sd,LDMC_mean,LDMC_sd,Leaf.Area..cm2._mean,Leaf.Area..cm2._sd,SLA..cm2.g._mean,SLA..cm2.g._sd,Shoot.dry.biomass..g._mean,Shoot.dry.biomass..g._sd,Root.dry.biomass..g._mean,Root.dry.biomass..g._sd,Total.biomass..g._mean,Total.biomass..g._sd,RMF_mean,RMF_sd,Root.volume..cm3._mean,Root.volume..cm3._sd,Root.density..g.cm3._mean,Root.density..g.cm3._sd,Coarse.root.diameter..mm._mean,Coarse.root.diameter..mm._sd,Length..mm._mean,Length..mm._sd,Fine.root.length..mm._mean,Fine.root.length..mm._sd,Coarse.root.length..mm._mean,Coarse.root.length..mm._sd,Coarse.root.specific.length..cm.g._mean,Coarse.root.specific.length..cm.g._sd,Fine.root.specific.length..cm.g._mean,Fine.root.specific.length..cm.g._sd,Proportion.fine.roots_mean,Proportion.fine.roots_sd
Geranium molle,4.78,0.952365476,0.09507,0.043895788,0.02726,0.012469707,0.286204529,0.021275343,4.6194,1.963645666,173.8929994,22.02157392,0.141376,0.057226977,0.059,0.027018512,0.200376,0.081473719,0.296429513,0.048531763,2.1024,0.59965932,0.027613301,0.006702116,0.47448,0.084833201,1233.44154,428.8061569,1008.10288,367.3218861,225.33866,83.51505197,3956.997015,538.5862754,18519.33511,7716.426251,0.812590838,0.045996832
Amsinckia mensiezii,13.25,0.896102673,0.071,0.007089702,0.010371667,0.001327515,0.14593177,0.008597198,1.9285,0.123226215,187.5097758,16.5610681,0.237333333,0.018272019,0.087666667,0.013735599,0.325,0.027254357,0.269022371,0.028925739,2.778666667,0.471437659,0.031778083,0.003753959,0.527416667,0.15028773,1398.814817,422.3308336,1112.630483,372.2195373,286.1843333,59.81396646,3309.724333,698.5763817,13113.90786,5235.269427,0.785204491,0.045954461
Erodium moschatum,4.775,1.034005158,0.1038625,0.032609866,0.0217325,0.009230227,0.203233369,0.055084501,4.94275,1.256218499,262.8502592,122.0843012,0.1057925,0.052869735,0.0679275,0.041186013,0.17372,0.093755652,0.35506895,0.089051358,1.69125,0.396594146,0.037501776,0.021048606,0.47915,0.153770966,1163.8096,587.7601748,982.132375,508.3302158,181.677225,82.99619912,4228.772416,3518.083585,18200.86511,8378.392951,0.829196244,0.045768221
Micropus californicus,3.25,0.734166194,0.004361667,0.001108159,0.00076,0.00022987,0.173121343,0.02331382,0.253333333,0.067639239,338.0445542,42.93400735,0.041928333,0.029927426,0.023166667,0.014524692,0.065095,0.043303235,0.38603201,0.088352637,1.270166667,0.310219546,0.01714408,0.007357663,0.501966667,0.089961673,711.2367667,379.2292481,597.8085167,343.811398,113.42825,37.19564521,6216.220634,3581.491425,28738.60764,10519.79604,0.826376627,0.041787412
Erodium cicutarium,1.783333333,0.306050105,0.03632,0.004064485,0.01084,0.001822592,0.298272578,0.033446713,1.243333333,0.132700666,116.4074637,16.50316993,0.16046,0.042983153,0.078666667,0.034378288,0.239126667,0.072809108,0.318935411,0.059666165,2.016666667,0.502219739,0.037706714,0.00912179,0.557233333,0.090349448,830.2720667,124.764306,661.5062333,122.2124541,168.7658333,23.09758414,2461.849678,923.2008867,10164.93568,4865.637665,0.793721778,0.03802659
Lepidium nitidum,3.808333333,1.036127698,0.010364167,0.002826795,0.002205,0.000831576,0.210376661,0.045013607,0.387083333,0.086001542,190.5394103,52.56270424,0.022833333,0.008077278,0.017099167,0.005479367,0.0399325,0.012615003,0.43127608,0.04898937,0.95825,0.236424166,0.019189598,0.008544279,0.460358333,0.096826738,603.8734417,174.7627951,513.077975,168.8778221,90.79546667,10.74017853,5743.209023,1674.707692,30437.14209,4742.720775,0.841834821,0.037120049
Centaurea solistitialis,2.82,1.325518766,0.062806,0.009214425,0.00875,0.001574722,0.138955614,0.012167908,2.0956,0.493353119,242.4958871,50.14247422,0.0644,0.017672012,0.082,0.01858763,0.1464,0.034594797,0.562713868,0.035624326,2.5802,0.220066354,0.031610478,0.006279049,0.5148,0.032845015,1248.44694,164.8769859,919.10186,130.8501345,329.34508,54.56510483,4087.282521,427.3978661,11761.27994,3423.898618,0.735919337,0.03329371
Trifolium pratense,3.216666667,0.567156651,0.061915,0.007126204,0.012928333,0.002345595,0.208312055,0.02158437,3.073166667,0.148226066,242.4073374,33.27921,0.089643333,0.020397413,0.038393333,0.009979993,0.128036667,0.030189509,0.298719602,0.015970289,1.618333333,0.212259904,0.023528072,0.003779603,0.499116667,0.042025583,848.0358333,217.3790118,693.4316667,195.0035273,154.6041667,26.57203644,4122.485565,601.4168126,17981.23921,1355.679442,0.812795883,0.032645566
Sherardia arvensis,9.2,2.180214057,0.0063725,0.001435627,0.00148425,0.000636092,0.222705762,0.061035845,0.24325,0.055120323,187.4025493,77.3023624,0.0714725,0.037882006,0.04427,0.023483268,0.1157425,0.060978548,0.38392243,0.022193143,1.811,0.581994845,0.022716544,0.008697097,0.519875,0.067072119,868.998925,289.8755964,704.145675,254.0905698,164.85325,46.07328514,4915.675157,3050.329835,20549.28399,11734.847,0.805514735,0.032059767
Achillea millefolium,3.96,1.141490254,0.08642,0.025006843,0.011526,0.003851017,0.134897906,0.026662528,3.5382,1.056239414,309.6540679,30.64325998,0.0426,0.013867228,0.0368,0.017838161,0.0794,0.02961925,0.453304616,0.099552077,1.5636,0.304127112,0.022926492,0.007375868,0.47932,0.067763205,910.71484,321.133578,766.11732,277.8318894,144.59752,47.19747554,4279.626113,1247.159864,21858.60945,3327.281322,0.837408836,0.027494603
Lolium multiflorum,13.28333333,1.153111732,0.042881667,0.008635071,0.007561667,0.001640676,0.176215124,0.016148153,2.618166667,0.418198717,353.4494509,52.30101257,0.174051667,0.026581422,0.243896667,0.031527767,0.417948333,0.057297714,0.584174321,0.013060342,4.143333333,0.481206678,0.058839938,0.002923286,0.600233333,0.05459083,1475.897667,185.6495269,1075.203083,153.2623142,400.6945833,51.44509802,1654.040989,214.2814807,4484.000901,987.0481099,0.727592432,0.026017112
Nemophila maculata,4.033333333,0.755424825,0.062118333,0.02715893,0.009055,0.005154593,0.138585952,0.027786471,1.960166667,0.944150076,229.2330098,41.39769017,0.098145,0.039859781,0.03714,0.015965137,0.135285,0.052201906,0.279424089,0.056193115,1.7625,0.370233845,0.020677968,0.005880626,0.489166667,0.040318763,947.0007333,227.9419537,762.7712833,187.5371175,184.22945,50.46653312,5255.707152,1008.375666,21844.59189,3889.910784,0.805536205,0.02528265
Cerastium glomeratum,4.333333333,0.350238014,0.054073333,0.018415603,0.007038333,0.001073115,0.13677327,0.025300928,2.163666667,0.504029629,304.4557437,25.89016106,0.117798333,0.013933392,0.0715,0.020027481,0.189298333,0.029781696,0.372369736,0.054820679,2.4305,0.781387164,0.02974206,0.001867719,0.5363,0.055925486,1058.815983,217.8361616,830.9747833,162.3480123,227.8412,62.14800765,3200.607155,333.1447872,11987.56678,2000.437747,0.786848153,0.024950274
Plagiobothrus nothfulvus,2.05,0.258843582,0.033426667,0.002895878,0.00583,0.000673855,0.174125606,0.008088047,1.294916667,0.098960809,223.1774184,13.49221892,0.141666667,0.014250146,0.097,0.015658863,0.238666667,0.021869309,0.405342056,0.044739169,2.210833333,0.189766611,0.043726571,0.004690658,0.394516667,0.040013469,1834.416817,260.8456464,1551.96055,252.0329203,282.4562667,21.63182542,2957.337107,372.1499879,16284.49994,3382.542179,0.843669819,0.022349612
Trifolium glomeratum,2.8,0.371728151,0.044006667,0.006368812,0.010626667,0.001792019,0.240856216,0.009379359,2.32625,0.33262431,220.6113592,20.03899423,0.047416667,0.016670486,0.022833333,0.002790677,0.07025,0.017533266,0.33996847,0.080193268,1.271666667,0.110144808,0.017958543,0.00156739,0.438783333,0.031013628,849.73235,112.7190417,735.7279667,111.4862599,114.0043833,10.51140195,5020.279029,376.0855268,32545.41111,5927.669327,0.863587104,0.021597569
Trifolium subterraneum,3.9,0.845576726,0.068264,0.017569269,0.011826,0.00352449,0.17197529,0.007091911,3.851,0.634931099,336.1697725,48.92195742,0.120884,0.028368382,0.0514,0.006730527,0.172284,0.035011585,0.301903991,0.023566585,1.9774,0.136419573,0.026106161,0.003909751,0.51702,0.039603497,950.30528,119.4496469,739.02988,107.6340027,211.2754,17.67277905,4141.166042,378.3439729,14365.20106,685.0948354,0.776136932,0.02065894
Anagallis arvensis,3.68,0.558569602,0.031816,0.003477374,0.004562,0.00068609,0.145442648,0.030092076,1.5552,0.161471979,348.6592446,75.24541022,0.061542,0.024384578,0.0464,0.027826247,0.107942,0.051265833,0.410020615,0.065643565,1.677,0.387981958,0.025852142,0.010525853,0.4391,0.048080401,1184.22276,507.6733242,1023.1221,451.7489968,161.10066,57.35983614,3971.676023,1097.610366,24281.16313,5606.610973,0.859924327,0.014482184
Spergularia rubra,3.033333333,0.61210021,0.018013333,0.00111699,0.002078333,0.000241778,0.11510712,0.007620043,0.3755,0.031264996,181.4739965,11.26419753,0.072166667,0.008886319,0.034833333,0.005115336,0.107,0.011627553,0.32581194,0.034881348,1.239333333,0.179339529,0.028331062,0.003961183,0.4465,0.033439976,791.3215833,78.64490565,660.9298833,75.99183814,130.3917,6.965462836,3801.362563,510.032547,19079.80093,1202.768115,0.834220668,0.014205027
Erodium botrys,3.675,0.62915287,0.0675075,0.011678271,0.01881,0.004404369,0.276586899,0.019276721,2.24975,0.414143594,120.7210018,8.617565483,0.2425,0.05850641,0.10125,0.002872281,0.34375,0.059589568,0.300271013,0.044592457,2.2165,0.19710657,0.045889197,0.00327563,0.462125,0.027055175,1328.738375,168.5556569,1085.8485,150.4002575,242.889875,18.82755044,2399.242179,176.4716309,10730.11349,1490.170144,0.816331222,0.00995238
