Taxon,Height..cm._mean,Height..cm._sd,Fresh.leaf.mass..g._mean,Fresh.leaf.mass..g._sd,Dry.leaf.mass..g._mean,Dry.leaf.mass..g._sd,LDMC_mean,LDMC_sd,Leaf.Area..cm2._mean,Leaf.Area..cm2._sd,SLA..cm2.g._mean,SLA..cm2.g._sd,Shoot.dry.biomass..g._mean,Shoot.dry.biomass..g._sd,Root.dry.biomass..g._mean,Root.dry.biomass..g._sd,Total.biomass..g._mean,Total.biomass..g._sd,RMF_mean,RMF_sd,Root.volume..cm3._mean,Root.volume..cm3._sd,Root.density..g.cm3._mean,Root.density..g.cm3._sd,Coarse.root.diameter..mm._mean,Coarse.root.diameter..mm._sd,Length..mm._mean,Length..mm._sd,Fine.root.length..mm._mean,Fine.root.length..mm._sd,Coarse.root.length..mm._mean,Coarse.root.length..mm._sd,Coarse.root.specific.length..cm.g._mean,Coarse.root.specific.length..cm.g._sd,Fine.root.specific.length..cm.g._mean,Fine.root.specific.length..cm.g._sd,Proportion.fine.roots_mean,Proportion.fine.roots_sd
Annagalis arvensis,3.366666667,4.736102476,0.017326667,0.004238253,0.002345,0.000439352,0.138618155,0.024717544,0.780666667,0.211928919,334.5339627,76.35405042,0.012098333,0.001503521,0.009275,0.004763863,0.021373333,0.006161583,0.410299341,0.10445026,1.4675,0.45909988,0.006902007,0.003726002,0.6913,0.24907439,430.9453333,131.9851238,339.3117333,129.6394212,91.6336,12.22211512,12441.30712,6782.144058,40175.95526,16536.56007,0.76285399,0.108847925
Galium aparine,7.2,NA,0.01712,NA,0.00148,NA,0.086448598,NA,0.441,NA,297.972973,NA,0.035,NA,0.024,NA,0.059,NA,0.406779661,NA,1.439,NA,0.016678249,NA,0.5126,NA,697.2206,NA,581.6497,NA,115.5709,NA,4815.454167,NA,24235.40417,NA,0.834240555,NA
Festuca microstachys,13.6,2.726169474,0.009452,0.005611476,0.002255,0.001109049,0.268169293,0.082291115,0.560333333,0.215555716,260.2539576,39.42704528,0.023341667,0.017412265,0.019028333,0.011719059,0.04237,0.025594235,0.475069709,0.176348272,1.513,0.550959164,0.013362273,0.006499713,0.703633333,0.223980969,402.1109833,120.2622863,293.4128333,109.4957486,108.69815,49.40893418,6381.490428,2660.641496,19964.1977,14224.58274,0.7161806,0.134779412
Eschscholzia californica,4.125,1.24465524,0.0085895,0.002241112,0.0014125,0.000331901,0.168206086,0.0323355,0.5295,0.174238343,375.4130402,97.38445479,0.01338,0.007947595,0.0060225,0.00336899,0.0194025,0.011180261,0.309083324,0.062030518,1.20075,0.168294137,0.004950762,0.002477543,0.7668,0.133529373,275.298225,86.0010538,193.883925,86.45972775,81.4143,25.72711894,17054.46205,10632.55976,34574.83427,9391.275209,0.680200646,0.128368426
Lasthenia californica,4.583333333,0.63691967,0.011798833,0.003028324,0.00122,0.000244786,0.106453402,0.023141137,0.296666667,0.088439056,242.0887076,45.69728312,0.012833333,0.006493587,0.007203333,0.00376937,0.020036667,0.008584646,0.373791169,0.163378772,1.091666667,0.243675741,0.006505472,0.003135251,0.65215,0.139391373,343.6642,102.5541164,268.1098167,116.0479679,75.55438333,25.5336398,12412.30027,6450.343966,45839.07603,25541.96045,0.756574827,0.124826206
Cynodon dactylon,9.433333333,1.691941685,0.033169333,0.012747111,0.00444,0.001611595,0.134427347,0.006298852,2.484166667,0.836891968,566.8794117,41.48058928,0.010095,0.005019907,0.017701667,0.011678579,0.027796667,0.016609899,0.622492096,0.051693172,1.4065,0.431308127,0.012379611,0.006934496,0.670933333,0.176915468,442.8261,210.5866113,338.2599333,200.3426353,104.5661667,27.25462173,7134.080105,2856.327179,21169.72269,9519.977403,0.730651043,0.115619439
Briza minor,4.85,0.70305456,0.09126425,0.081966516,0.002475,0.000603821,0.081920296,0.072347217,1.38825,0.312859964,563.8060182,38.74696393,0.0150075,0.00823996,0.0125925,0.00747477,0.0276,0.015689165,0.450385453,0.023236927,1.4785,0.301093721,0.008390414,0.004746516,0.752325,0.16030821,356.18625,124.13211,254.93275,118.5535659,101.2535,11.74630453,10148.42952,4442.269744,23665.29215,10759.66902,0.688882418,0.101798792
Hypochaeris radicata,1.1,0.529150262,0.013209333,0.016818499,0.002241667,0.003354701,0.144064067,0.032545146,0.557333333,0.578050747,358.9799303,130.6526919,0.00595,0.010326477,0.012776667,0.011696664,0.018726667,0.015946395,0.674200214,0.234665233,1.101166667,0.38532761,0.01309765,0.012653358,0.70615,0.278684809,322.4412333,138.2651768,258.7836833,124.0177158,63.65755,19.3369676,14373.20457,16483.40753,44008.98205,32086.8456,0.779122372,0.097413656
Trifolium dubium,2.583333333,0.480214598,0.016501667,0.004343118,0.004181667,0.00149572,0.246563687,0.045190121,1.3175,0.337124606,339.4195731,87.01815684,0.024595,0.012686863,0.018166667,0.009013458,0.042761667,0.021652899,0.418114398,0.030885088,1.371333333,0.207061402,0.013572556,0.006257651,0.5774,0.198731468,619.1712,229.1693577,519.1748167,215.5484989,99.99638333,16.55336841,10966.01486,13931.92995,34088.65801,13481.24404,0.809531655,0.096717002
Clarkia purpurea,4.3,4.041923163,0.01577275,0.007717303,0.00183625,0.000996837,0.112924997,0.015861342,0.604,0.31362079,340.6651333,49.85386142,0.016285,0.013678327,0.01657375,0.014727887,0.03285875,0.028245881,0.482870378,0.078517547,1.515,0.73752075,0.009798995,0.006564544,0.6656125,0.280367817,522.111925,292.9959696,417.753125,262.8628689,104.3588,38.29196622,11537.26151,7923.89164,40649.10441,21520.30086,0.76681388,0.0940772
Hypochaeris glabra,0.7,0.565685425,0.0171688,0.014522076,0.00173,0.001743545,0.089321112,0.024750959,0.6374,0.598095979,418.6697336,106.5968431,0.009082,0.009328634,0.006176,0.006829032,0.015258,0.01577358,0.434615563,0.093517689,1.085,0.280893218,0.006892298,0.008462486,0.68514,0.29018909,438.42362,383.0649663,378.81074,360.1716377,59.61288,26.5105577,15923.83944,9094.187617,70378.27348,21385.11736,0.81967623,0.092755013
Linum bienne,4.28,1.599062225,0.0010382,0.000602519,0.000306,0.00019152,0.280088813,0.052187966,0.0614,0.032569925,225.91097,64.30185386,0.00821,0.005533001,0.007654,0.004514436,0.015864,0.010012501,0.48835092,0.042153573,1.2218,0.200302771,0.006700527,0.004331999,0.81002,0.170024739,249.22548,64.77677769,165.8534,59.23815071,83.37208,11.30749694,14622.81989,9476.052088,24297.69148,5655.709323,0.650010111,0.091176156
Aira caryophyllea,4.716666667,0.655489639,0.002906667,0.000314675,0.000485,0.000137514,0.168191308,0.050693679,0.123833333,0.019229318,269.5568361,73.61748141,0.002298333,0.001058705,0.002541667,0.002636159,0.00484,0.00333214,0.457188208,0.147215315,1.508166667,0.36240332,0.001644597,0.001515484,1.073633333,0.132187362,165.8141833,18.61287075,93.32293333,18.97072177,72.49125,15.10928284,52325.83804,40559.51237,60374.8591,33277.4966,0.561989833,0.091112007
Leontodon uknown,1.3,0.576194412,0.0357215,0.016217078,0.004186667,0.001920996,0.115858115,0.008377083,1.161833333,0.449270705,298.6748729,64.86210435,0.028968333,0.012893022,0.017893333,0.007510586,0.046861667,0.020032522,0.387694029,0.037123949,1.288166667,0.339704234,0.013986048,0.005799801,0.60675,0.165321466,497.1086,193.8894627,383.8889833,187.2294705,113.2196167,19.96609535,8695.374352,7085.611177,25144.34265,12374.82926,0.745149561,0.090647632
Aphanes occidentalis,3.283333333,0.611282804,0.041138333,0.018651838,0.005086667,0.001498168,0.129989892,0.03106161,1.5075,0.515676934,303.0028626,70.25601643,0.099643333,0.051889894,0.0385,0.021379897,0.138143333,0.072865144,0.278895374,0.023617619,2.759833333,0.710438855,0.013740056,0.005209982,1.058366667,0.32693527,353.3259833,142.1696575,231.5677333,122.6885927,121.75825,21.43332415,3781.146477,1361.057944,7116.319401,3332.685574,0.627971851,0.088790313
Vulpia bromoides,13.21666667,2.008399031,0.0038755,0.001033458,0.000925,0.000259673,0.24058456,0.048186257,0.286833333,0.143562414,298.7285614,93.59695521,0.013,0.007071068,0.015333333,0.007814516,0.028333333,0.014264174,0.573296111,0.14959915,1.150166667,0.268569854,0.014072961,0.007998196,0.562633333,0.197530359,548.1698,250.8188569,454.20825,237.402273,93.96155,17.77843981,7422.205495,3160.0927,30583.02685,9318.877237,0.801100395,0.085103806
Brassica nigra,3.575,1.422625614,0.0845,0.028205936,0.016918333,0.006814063,0.199945336,0.055194934,2.679666667,0.683508773,180.0750749,78.16799705,0.061764167,0.02332043,0.040416667,0.013983486,0.102180833,0.035008365,0.405181958,0.061054939,1.914166667,0.445818315,0.021468124,0.007694821,0.612191667,0.205500141,784.045525,362.8181917,631.726725,341.0265448,152.3188,32.69824834,4503.582243,2750.778346,18012.47808,11299.83482,0.775861758,0.076857411
Dichelostemma capitatum,2.36,0.901665126,0.0359418,0.021304326,0.004954,0.003418286,0.134953727,0.024602403,1.141,0.598717797,248.6642223,55.36410466,0.0286,0.024885739,0.014172,0.012017382,0.042772,0.036292898,0.324725142,0.102406993,1.2994,0.365904086,0.010463776,0.008404256,0.75458,0.152245614,305.79188,118.7667355,202.09262,98.81742118,103.69926,25.08160899,10525.69873,5354.539724,19621.78172,10281.00065,0.645430605,0.076114036
