Taxon,ID,Rep,Date harvest,Height (cm),Fresh leaf mass (g),Dry leaf mass (g),LDMC,Leaf Area (cm2),SLA (cm2/g),Shoot dry biomass (g),Root dry biomass (g),Total biomass (g),RMF,Root volume (cm3),Root density (g/cm3),Coarse root diameter (mm),Length (mm),Fine root length (mm),Coarse root length (mm),Coarse root specific length (cm/g),Fine root specific length (cm/g),Proportion fine roots
Lotus purshianus,LOPU,1,3/4/22,4,0.01028,0.00312,0.303501946,0.693,222.1153846,0.035,0.02,0.055,0.363636364,1.579,0.012666244,0.8029,311.7524,186.6067,125.1457,6257.285,9330.335,0.598573419
Lotus purshianus,LOPU,2,3/4/22,6.7,0.03502,0.00974,0.278126785,1.674,171.8685832,0.085,0.039,0.124,0.314516129,2.147,0.018164881,0.6748,600.4605,433.6823,166.7782,4276.364103,11120.05897,0.722249507
Lotus purshianus,LOPU,3,3/4/22,6,0.02868,0.0092,0.320781032,1.396,151.7391304,0.088,0.035,0.123,0.284552846,2.294,0.015257193,0.7702,492.461,312.893,179.568,5130.514286,8939.8,0.635366049
Lotus purshianus,LOPU,4,3/4/22,2.5,0.0074,0.00157,0.212162162,0.398,253.5031847,0.024,0.013,0.037,0.351351351,1.972,0.006592292,0.9405,283.8208,174.755,109.0658,8389.676923,13442.69231,0.61572302
Lotus purshianus,LOPU,5,3/4/22,3.6,0.01434,0.00367,0.255927476,0.718,195.640327,0.038,0.021,0.059,0.355932203,2.374,0.00884583,1.0558,271.1662,138.1153,133.0509,6335.757143,6576.919048,0.509338184
Lotus purshianus,LOPU,6,3/4/22,3,0.00536,0.00258,0.481343284,0.447,173.255814,0.048,0.02,0.068,0.294117647,2.21,0.009049774,0.9171,334.5283,191.5636,142.9647,7148.235,9578.18,0.57263795
Madia elegans,MAELp,1,3/4/22,7.7,0.09483,0.01352,0.142570916,3.014,222.9289941,0.084,0.124,0.208,0.596153846,3.022,0.041032429,0.4739,1713.0145,1286.2929,426.7216,3441.303226,10373.32984,0.750894344
Madia elegans,MAELp,2,3/4/22,6.6,0.074,0.01055,0.142567568,3.687,349.478673,0.054,0.058,0.112,0.517857143,2.109,0.027501185,0.4503,1324.1581,1063.3718,260.7863,4496.315517,18333.99655,0.803055013
Madia elegans,MAELp,3,3/29/22,3.4,0.02785,0.00348,0.124955117,1.167,335.3448276,0.015,0.019,0.034,0.558823529,1.285,0.014785992,0.5687,505.9502,383.6229,122.3273,6438.278947,20190.67895,0.758222647
Madia elegans,MAELp,4,3/29/22,5.1,0.03578,0.00459,0.128283958,1.559,339.6514161,0.021,0.027,0.048,0.5625,1.564,0.017263427,0.5339,698.6716,532.5399,166.1317,6153.025926,19723.7,0.762217757
Madia elegans,MAELp,5,3/11/22,5.7,Skipped accidentally,0.00562,NA,1.621,288.4341637,0.05001,0.036,0.08601,0.418555982,1.691,0.021289178,0.5004,859.8262,688.3546,171.4716,4763.1,19120.96111,0.800574116
Madia elegans,MAELp,6,3/29/22,5.3,0.03395,0.00391,0.115169367,1.682,430.1790281,0.025,0.028,0.053,0.528301887,1.452,0.019283747,0.5141,699.5703,532.009,167.5613,5984.332143,19000.32143,0.760479683
Madia elegans,MAELf,1,3/9/22,1.2,0.02468,0.00171,0.069286872,0.494,288.8888889,0.0084,0.006,0.0144,0.416666667,1.112,0.005395683,0.65,335.1714,248.4887,86.6827,14447.11667,41414.78333,0.741377993
Madia elegans,MAELf,2,3/11/22,0.9,0.0422,0.00396,0.093838863,0.991,250.2525253,0.01817,0.015,0.03317,0.452215858,1.215,0.012345679,0.4451,780.9254,679.0232,101.9022,6793.48,45268.21333,0.869510967
Madia elegans,MAELf,3,3/7/22,1.7,0.064,0.00628,0.098125,1.582,251.910828,0.025,0.016,0.041,0.390243902,1.505,0.010631229,0.5393,658.9649,517.1558,141.8091,8863.06875,32322.2375,0.784800222
Madia elegans,MAELf,4,3/11/22,1.2,0.05752,0.00496,0.086230876,1.463,294.9596774,0.02869,0.031,0.05969,0.519349975,1.704,0.018192488,0.4846,924.0933,700.1398,223.9535,7224.306452,22585.15484,0.757650553
Madia elegans,MAELf,5,3/11/22,1.8,0.04011,0.00335,0.083520319,0.873,260.5970149,0.0175,0.01,0.0275,0.363636364,1.446,0.006915629,0.5206,679.4533,573.7239,105.7294,10572.94,57372.39,0.844390483
Madia elegans,MAELf,6,3/11/22,1,0.05232,0.00412,0.078746177,0.998,242.2330097,0.01634,0.018,0.03434,0.524170064,1.408,0.012784091,0.4757,791.9554,676.9203,115.0351,6390.838889,37606.68333,0.854745482
Micropus californicus,MICA,1,3/7/22,3.9,0.0054,0.0008,0.148148148,0.321,401.25,0.083,0.049,0.132,0.371212121,1.76,0.027840909,0.398,1414.6051,1234.7321,179.873,3670.877551,25198.61429,0.872845786
Micropus californicus,MICA,2,3/7/22,3.5,0.004,0.00061,0.1525,0.229,375.4098361,0.044,0.018,0.062,0.290322581,1.458,0.012345679,0.6527,435.8381,334.8323,101.0058,5611.433333,18601.79444,0.768249265
Micropus californicus,MICA,3,3/7/22,4,0.0056,0.00106,0.189285714,0.302,284.9056604,0.071,0.027,0.098,0.275510204,1.317,0.020501139,0.4523,819.6601,690.913,128.7471,4768.411111,25589.37037,0.842926232
Micropus californicus,MICA,4,3/7/22,3.1,0.004,0.00079,0.1975,0.248,313.9240506,0.026,0.023,0.049,0.469387755,1.148,0.020034843,0.4758,645.7134,536.9569,108.7565,4728.543478,23345.95217,0.831571561
Micropus californicus,MICA,5,3/7/22,3,0.0046,0.0009,0.195652174,0.286,317.7777778,0.021,0.016,0.037,0.432432432,1.03,0.015533981,0.4755,579.7121,497.9861,81.726,5107.875,31124.13125,0.859023125
Micropus californicus,MICA,6,3/9/22,2,0.00257,0.0004,0.155642023,0.134,335,0.00657,0.006,0.01257,0.477326969,0.908,0.00660793,0.5575,371.8918,291.4307,80.4611,13410.18333,48571.78333,0.783643791
Plantago erecta,PLERp,1,3/4/22,10.3,0.08765,0.01108,0.126411865,2.163,195.2166065,0.117,0.068,0.185,0.367567568,2.105,0.032304038,0.4213,1510.2797,1261.1072,249.1725,3664.301471,18545.69412,0.83501566
Plantago erecta,PLERp,2,3/4/22,9.1,0.05142,0.00634,0.123298327,1.408,222.0820189,0.085,0.059,0.144,0.409722222,1.912,0.030857741,0.4082,1461.2841,1257.2648,204.0193,3457.954237,21309.57288,0.860383549
Plantago erecta,PLERp,3,3/4/22,9.7,0.06412,0.00747,0.116500312,1.573,210.5756359,0.108,0.063,0.171,0.368421053,1.841,0.034220532,0.3866,1568.3903,1352.465,215.9253,3427.385714,21467.69841,0.862326807
Plantago erecta,PLERp,4,3/7/22,8.5,0.0546,0.00652,0.119413919,1.637,251.0736196,0.06,0.037,0.097,0.381443299,1.594,0.023212045,0.4452,1023.9263,875.3244,148.6019,4016.267568,23657.41622,0.854870512
Plantago erecta,PLERp,5,3/7/22,9.2,0.0677,0.0094,0.138847858,2.038,216.8085106,0.08,0.056,0.136,0.411764706,2.174,0.02575897,0.5728,843.5791,635.1507,208.4284,3721.935714,11341.97679,0.752923703
Plantago erecta,PLERp,6,3/7/22,9.6,0.0606,0.00856,0.141254125,2.387,278.8551402,0.127,0.073,0.2,0.365,2.426,0.030090684,0.644,744.7872,562.4747,182.3125,2497.431507,7705.132877,0.755215315
Plantago erecta,PLERf,1,4/5/22,6.1,0.03269,0.00672,0.205567452,0.956,142.2619048,0.0764,0.065,0.1414,0.459688826,2.352,0.027636054,0.567,931.5884,712.0357,219.5527,3377.733846,10954.39538,0.764324352
Plantago erecta,PLERf,2,4/1/22,5.5,0.02152,0.00398,0.184944238,0.924,232.160804,0.038,0.033,0.071,0.464788732,1.41,0.023404255,0.4164,1035.3158,904.744,130.5718,3956.721212,27416.48485,0.873882153
Plantago erecta,PLERf,3,4/1/22,5.6,0.03744,0.00555,0.148237179,1.24,223.4234234,0.057,0.059,0.116,0.50862069,1.585,0.037223975,0.3812,1389.2955,1232.0525,157.243,2665.135593,20882.24576,0.886818175
Plantago erecta,PLERf,4,3/14/22,4.8,0.02161,0.00372,0.172142527,0.657,176.6129032,0.04086,0.039,0.07986,0.488354621,2.446,0.015944399,0.7607,538.3192,369.5709,168.7483,4326.879487,9476.176923,0.686527436
Plantago erecta,PLERf,5,3/14/22,5.9,0.02063,0.00298,0.14444983,0.596,200,0.03634,0.053,0.08934,0.59323931,2.27,0.023348018,0.5425,982.1522,772.8321,209.3201,3949.435849,14581.73774,0.786876107
Plantago erecta,PLERf,6,3/11/22,5.9,0.03127,0.00544,0.17396866,0.843,154.9632353,0.05285,0.064,0.11685,0.54771074,2.089,0.030636668,0.4122,1564.8985,1323.4915,241.407,3771.984375,20679.55469,0.845736321
Trifolium wildenovii,TRWIp,1,3/4/22,6.6,0.01963,0.00535,0.272542028,0.827,154.5794393,0.138,0.044,0.182,0.241758242,1.697,0.025928108,0.5412,737.8663,586.1424,151.7239,3448.270455,13321.41818,0.794374807
Trifolium wildenovii,TRWIp,2,3/4/22,4.5,0.01779,0.00483,0.271500843,0.836,173.0848861,0.055,0.028,0.083,0.337349398,1.449,0.019323671,0.5527,604.0243,473.1748,130.8495,4673.196429,16899.1,0.78337047
Trifolium wildenovii,TRWIp,3,3/4/22,4.2,0.01631,0.00359,0.220110362,0.813,226.4623955,0.067,0.029,0.096,0.302083333,1.676,0.017303103,0.573,649.8215,513.0313,136.7902,4716.903448,17690.73448,0.789495731
Trifolium wildenovii,TRWIp,4,3/4/22,5.1,0.02752,0.00667,0.242369186,1.71,256.3718141,0.078,0.035,0.113,0.309734513,1.562,0.02240717,0.5272,715.486,576.3695,139.1165,3974.757143,16467.7,0.805563631
Trifolium wildenovii,TRWIp,5,3/4/22,3.9,0.01986,0.00525,0.264350453,1.341,255.4285714,0.049,0.032,0.081,0.395061728,2.348,0.01362862,0.8615,402.7706,245.845,156.9256,4903.925,7682.65625,0.610384671
Trifolium wildenovii,TRWIp,6,3/2/22,4,0.01826,0.00448,0.245345016,1.015,226.5625,0.048,0.028,0.076,0.368421053,1.647,0.017000607,0.6535,491.1026,345.6788,145.4238,5193.707143,12345.67143,0.703883058
Trifolium wildenovii,TRWIpi,1,3/4/22,5.3,0.03512,0.00944,0.268792711,1.657,175.529661,0.076,0.041,0.117,0.35042735,1.55,0.026451613,0.5521,647.5763,447.1533,200.423,4888.365854,10906.17805,0.69050288
Trifolium wildenovii,TRWIpi,2,3/4/22,5.5,0.02698,0.00708,0.262416605,1.288,181.920904,0.065,0.032,0.097,0.329896907,1.625,0.019692308,0.5216,760.2161,613.4778,146.7383,4585.571875,19171.18125,0.806978174
Trifolium wildenovii,TRWIpi,3,3/4/22,5.1,0.02204,0.00426,0.193284936,1.198,281.2206573,0.055,0.027,0.082,0.329268293,1.629,0.016574586,0.5613,658.103,521.4692,136.6338,5060.511111,19313.67407,0.792382347
Trifolium wildenovii,TRWIpi,4,3/4/22,4.7,0.01981,0.00479,0.241797072,1.19,248.434238,0.058,0.032,0.09,0.355555556,1.542,0.02075227,0.5286,702.9215,534.3016,168.6199,5269.371875,16696.925,0.760115603
Trifolium wildenovii,TRWIpi,5,3/4/22,5.7,0.01239,0.00264,0.213075061,0.67,253.7878788,0.084,0.03,0.114,0.263157895,2.032,0.01476378,0.6803,559.0553,400.4296,158.6257,5287.523333,13347.65333,0.716261164
Trifolium wildenovii,TRWIpi,6,3/4/22,4.3,0.0128,0.00317,0.24765625,0.622,196.214511,0.058,0.045,0.103,0.436893204,2.097,0.021459227,0.8236,393.7138,235.6614,158.0524,3512.275556,5236.92,0.598560172
Trifolium wildenovii,TRWIf,1a,3/9/22,4.9,0.02038,0.00461,0.226202159,1.063,230.5856833,0.067,0.037,0.104,0.355769231,1.26,0.029365079,0.4306,865.2549,719.9414,145.3135,3927.391892,19457.87568,0.832057004
Trifolium wildenovii,TRWIf,2,3/9/22,5.2,0.01801,0.00389,0.215991116,0.701,180.2056555,0.102,0.043,0.145,0.296551724,1.577,0.027266963,0.5014,798.58,647.8243,150.7557,3505.946512,15065.6814,0.811220291
Trifolium wildenovii,TRWIf,3,3/11/22,5.5,0.0183,0.00459,0.250819672,1.056,230.0653595,0.056,0.027,0.083,0.325301205,1.721,0.015688553,0.6088,591.0644,422.7674,168.297,6233.222222,15658.05185,0.71526453
Trifolium wildenovii,TRWIf,4a,3/11/22,5.8,0.02298,0.00676,0.294168842,1.143,169.0828402,0.087,0.036,0.123,0.292682927,1.399,0.025732666,0.4541,863.4237,720.2104,143.2133,3978.147222,20005.84444,0.83413323
Trifolium wildenovii,TRWIf,5,3/11/22,5.3,0.01073,0.00244,0.227399814,0.88,360.6557377,0.1,0.046,0.146,0.315068493,1.655,0.027794562,0.4988,847.14,672.6669,174.4731,3792.893478,14623.19348,0.79404455
Trifolium wildenovii,TRWIf,6,3/11/22,4.3,0.01503,0.0036,0.239520958,0.834,231.6666667,0.124,0.044,0.168,0.261904762,1.436,0.030640669,0.4577,872.9411,722.9862,149.9549,3408.065909,16431.50455,0.828218765
Trifolium wildenovii,TRWIf,1b,3/9/22,NA,NA,NA,NA,NA,NA,0.036,0.02739,0.06339,0.43208708,not scanned,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium wildenovii,TRWIf,4b,3/11/22,NA,NA,NA,NA,NA,NA,0.00736,0.00638,0.01374,0.4643377,not scanned,NA,NA,NA,NA,NA,NA,NA,NA
