Taxon,ID,Rep,Date harvest,Height (cm),Fresh leaf mass (g),Dry leaf mass (g),LDMC,Leaf Area (cm2),SLA (cm2/g),Shoot dry biomass (g),Root dry biomass (g),Total biomass (g),RMF,Root volume (cm3),Root density (g/cm3),Coarse root diameter (mm),Length (mm),Fine root length (mm),Coarse root length (mm),Coarse root specific length (cm/g),Fine root specific length (cm/g),Proportion fine roots
Triteleia laxa,TRLA,5,4/26/22,5,0.01285,0.002375,0.184824903,0.462,194.5263158,0.002375,0.00319,0.005565,0.573225517,2.169,0.001470724,1.4641,128.8512,44.9373,83.9139,26305.29781,14086.9279,0.348753446
Triteleia laxa,TRLA,6,3/29/22,2.2,0.00315,0.00057,0.180952381,0.109,191.2280702,0.00057,0.000208,0.000778,0.267352185,2.589,8.03399E-05,1.8915,92.1253,21.708,70.4173,338544.7115,104365.3846,0.235635596
Nemophila maculata,NEMA,1,4/22/22,5.1,0.08655,0.01349,0.155863663,2.827,209.562639,0.141,0.034,0.175,0.194285714,1.577,0.021559924,0.4718,902.1676,726.3954,175.7722,5169.770588,21364.57059,0.8051668
Nemophila maculata,NEMA,2,3/21/22,4.4,0.08094,0.01061,0.131084754,2.482,233.9302545,0.121,0.063,0.184,0.342391304,2.054,0.03067186,0.4447,1321.9704,1097.2978,224.6726,3566.231746,17417.4254,0.830047178
Nemophila maculata,NEMA,3,4/22/22,2.8,0.04195,0.00603,0.143742551,1.133,187.893864,0.08587,0.027,0.11287,0.239213254,1.539,0.01754386,0.4808,848.0156,688.1806,159.835,5919.814815,25488.17037,0.811518798
Nemophila maculata,NEMA,4,4/22/22,4.1,0.0369,0.00495,0.134146341,1.431,289.0909091,0.053,0.02584,0.07884,0.32775241,1.304,0.019815951,0.4662,763.7445,633.8719,129.8726,5026.029412,24530.64628,0.829952818
Nemophila maculata,NEMA,5,4/26/22,3.8,0.0341,0.00314,0.092082111,0.833,265.2866242,0.053,0.023,0.076,0.302631579,1.786,0.01287794,0.5571,732.4652,581.3505,151.1147,6570.204348,25276.1087,0.793690267
Nemophila maculata,NEMA,6,4/22/22,4,0.09227,0.01611,0.174596293,3.055,189.6337678,0.135,0.05,0.185,0.27027027,2.315,0.021598272,0.5144,1113.6411,849.5315,264.1096,5282.192,16990.63,0.762841368
Trifolium ciliolatum,TRCI,2,3/16/22,4,0.02914,0.00392,0.134522992,1.261,321.6836735,0.02053,0.00579,0.02632,0.219984802,1.603,0.003611978,0.8789,264.1631,183.6018,80.5613,13913.86874,31710.15544,0.695031971
Trifolium ciliolatum,TRCI,3,3/16/22,5.4,0.0491,0.01085,0.220977597,2.182,201.1059908,0.098,0.024,0.122,0.196721311,1.729,0.013880856,0.6015,608.6248,500.4032,108.2216,4509.233333,20850.13333,0.822186674
Trifolium ciliolatum,TRCI,4,3/16/22,5.2,0.04491,0.01009,0.224671565,1.994,197.6214073,0.093,0.037,0.13,0.284615385,1.526,0.024246396,0.4776,852.0398,707.9877,144.0521,3893.3,19134.8027,0.830932663
Trifolium ciliolatum,TRCI,5,3/16/22,4.9,0.04696,0.00957,0.20379046,2.043,213.4796238,0.07579,0.031,0.10679,0.290289353,1.419,0.021846371,0.4367,947.4781,799.0527,148.4254,4787.916129,25775.89355,0.843346881
Trifolium ciliolatum,TRCI,6,3/16/22,6.3,0.05397,0.01149,0.212896053,2.411,209.8346388,0.101,0.044,0.145,0.303448276,1.708,0.025761124,0.4518,1065.2226,901.6147,163.6079,3718.361364,20491.24318,0.846409661
Lolium multiflorum,LOMU,1,4/26/22,11.9,0.03952,0.00728,0.184210526,2.241,307.8296703,0.14331,0.21138,0.35469,0.595957033,3.748,0.056398079,0.5945,1350.4572,1027.6954,322.7618,1526.926862,4861.838395,0.760998127
Lolium multiflorum,LOMU,2,4/26/22,13.7,0.05417,0.00841,0.155251984,3.22,382.8775268,0.151,0.226,0.377,0.599469496,3.86,0.058549223,0.6139,1304.3092,914.5834,389.7258,1724.450442,4046.829204,0.701201372
Lolium multiflorum,LOMU,3,4/26/22,13.1,0.04714,0.00949,0.201315231,2.802,295.2581665,0.193,0.265,0.458,0.57860262,4.785,0.0553814,0.6827,1307.3611,929.0156,378.3455,1427.718868,3505.719245,0.710603673
Lolium multiflorum,LOMU,4,4/26/22,12.1,0.02948,0.00482,0.163500678,2.104,436.5145228,0.191,0.276,0.467,0.591006424,4.546,0.060712714,0.5948,1635.827,1158.3031,477.5239,1730.159058,4196.750362,0.708084107
Lolium multiflorum,LOMU,5,4/26/22,14.9,0.03927,0.00685,0.17443341,2.489,363.3576642,0.208,0.275,0.483,0.569358178,4.335,0.06343714,0.6038,1513.6894,1100.5021,413.1873,1502.499273,4001.825818,0.72703297
Lolium multiflorum,LOMU,6,4/26/22,14,0.04771,0.00852,0.178578914,2.853,334.8591549,0.158,0.21,0.368,0.570652174,3.586,0.058561071,0.5117,1743.7421,1321.1189,422.6232,2012.491429,6291.042381,0.757634343
Sherardia arvensis,SHAR,1,4/26/22,6,0.0043,0.000577,0.134186047,0.175,303.2928943,0.016,0.01024,0.02624,0.390243902,1.048,0.009770992,0.5294,476.22,379.1586,97.0614,9478.652344,37027.20703,0.796183697
Sherardia arvensis,SHAR,2,4/26/22,10.8,0.00712,0.00189,0.265449438,0.288,152.3809524,0.1,0.056,0.156,0.358974359,1.978,0.028311426,0.5055,985.5636,792.6367,192.9269,3445.123214,14154.22679,0.804247133
Sherardia arvensis,SHAR,3,4/26/22,9.7,0.00656,0.001511,0.230335366,0.222,146.9225678,0.07989,0.048,0.12789,0.375322543,1.771,0.027103331,0.4411,1158.8852,984.0625,174.8227,3642.139583,20501.30208,0.8491458
Sherardia arvensis,SHAR,4,4/26/22,10.3,0.00751,0.001959,0.260852197,0.288,147.0137825,0.09,0.06284,0.15284,0.411148914,2.447,0.025680425,0.6035,855.3269,660.7249,194.602,3096.785487,10514.40006,0.772482311
Annagalis arvensis,ANARp,1,4/11/22,1.5,0.02087,0.00296,0.141830379,0.899,303.7162162,0.01107,0.004,0.01507,0.265428003,1.467,0.002726653,0.7128,367.7472,277.0485,90.6987,22674.675,69262.125,0.753366715
Annagalis arvensis,ANARp,2,4/22/22,0.9,0.01995,0.00266,0.133333333,0.909,341.7293233,0.01324,0.01124,0.02448,0.459150327,1.283,0.008760717,0.5761,492.1217,411.9744,80.1473,7130.542705,36652.52669,0.837139269
Annagalis arvensis,ANARp,3,3/11/22,1.2,0.01193,0.00215,0.180217938,0.499,232.0930233,0.011,0.005,0.016,0.3125,2.315,0.002159827,1.1835,210.4378,115.4684,94.9694,18993.88,23093.68,0.548705603
Annagalis arvensis,ANARp,4,4/22/22,1.3,0.01553,0.00226,0.145524791,0.668,295.5752212,0.01028,0.007,0.01728,0.405092593,0.925,0.007567568,0.5345,412.1595,336.9505,75.209,10744.14286,48135.78571,0.817524526
Annagalis arvensis,ANARp,5,4/22/22,1.5,0.02217,0.00236,0.106450158,1.068,452.5423729,0.013,0.012,0.025,0.48,1.413,0.008492569,0.5846,526.3954,420.0299,106.3655,8863.791667,35002.49167,0.797936114
Annagalis arvensis,ANARp,6,4/22/22,2.1,0.01351,0.00168,0.124352332,0.641,381.547619,0.014,0.01641,0.03041,0.539625123,1.402,0.011704708,0.5563,576.8104,474.3987,102.4117,6240.810481,28909.12249,0.82245171
Brassica nigra,BRNIp,1,3/11/22,5.3,0.13047,0.02519,0.193071204,3.654,145.0575625,0.083,0.043,0.126,0.341269841,2.519,0.017070266,0.7581,558.2258,394.4281,163.7977,3809.248837,9172.746512,0.706574472
Brassica nigra,BRNIp,2,3/11/22,4.2,0.11145,0.02361,0.211843876,2.991,126.6836086,0.074,0.044,0.118,0.372881356,1.614,0.027261462,0.4035,1261.7717,1062.209,199.5627,4535.515909,24141.11364,0.841839296
Brassica nigra,BRNIp,3,3/11/22,6,0.12573,0.02052,0.163206872,3.76,183.2358674,0.057,0.037,0.094,0.393617021,1.468,0.02520436,0.3888,1236.1547,1070.158,165.9967,4486.397297,28923.18919,0.86571527
Brassica nigra,BRNIp,4,3/14/22,2.4,0.0546,0.00461,0.084432234,1.879,407.5921909,0.00734,0.007,0.01434,0.488145049,1.463,0.004784689,0.6911,390.0958,299.9171,90.1787,12882.67143,42845.3,0.768829349
Brassica nigra,BRNIp,5,3/14/22,4.5,0.07937,0.0125,0.157490236,2.563,205.04,0.0525,0.043,0.0955,0.45026178,2.358,0.018235793,0.7839,488.6332,353.1563,135.4769,3150.625581,8212.937209,0.722743154
Brassica nigra,BRNIp,6,3/14/22,5.1,0.09435,0.01395,0.147853736,2.964,212.4731183,0.08333,0.039,0.12233,0.318809777,2.411,0.016175861,1.0365,285.7686,182.3279,103.4407,2652.325641,4675.074359,0.638026361
Brassica nigra,BRNIf,1,3/11/22,3,0.08608,0.02027,0.235478625,3.013,148.6433152,0.056,0.06,0.116,0.517241379,2.443,0.024559967,0.7319,580.6973,417.9681,162.7292,2712.153333,6966.135,0.719769319
Brassica nigra,BRNIf,2,3/11/22,3.4,0.08847,0.02523,0.285181417,2.915,115.5370591,0.089,0.06,0.149,0.402684564,1.833,0.032733224,0.4448,1179.1306,984.3937,194.7369,3245.615,16406.56167,0.834847047
Brassica nigra,BRNIf,3,3/11/22,1.7,0.04233,0.00909,0.214741318,1.585,174.3674367,0.073,0.047,0.12,0.391666667,2.18,0.021559633,0.6489,659.2339,485.9197,173.3142,3687.53617,10338.71702,0.737097561
Brassica nigra,BRNIf,4,3/11/22,3.1,0.05883,0.01212,0.206017338,2.109,174.009901,0.078,0.039,0.117,0.333333333,1.397,0.027916965,0.4076,1071.0245,913.3649,157.6596,4042.553846,23419.61282,0.852795524
