"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_dry_2021_1",0,0.0317292437863564,0,0,0,0,0,0,0,0.0158646218931782,0,0,0,0.000105764145954521,0,0,0,0,0,0,0,0,0,0,0,0,0.00534108937070333,0,0,0,0,0,0,0,0,0.000105764145954521,0,0,0,0,0,0,0.0898995240613432,0,0,0,0.0106292966684294,0,0,0,0,0.000105764145954521,0,0,0.0846113167636171,0.396615547329455,0,0,0.0211528291909043,0,0,0.000105764145954521,0,0,0.0528820729772607,0,0,0,0,0,0,0,0,0.290851401374934,0
"control_dry_2021_2",0,0.201658077526328,0,0,0,0,0,0,0,0.425722608111136,0,0,0,8.96258122339233e-05,0,0,0,0,8.96258122339233e-05,0,0,0,0,0,0,0,0.00452610351781313,0.00448129061169617,0.00448129061169617,0,0,0,8.96258122339233e-05,0,0,0.00896258122339233,8.96258122339233e-05,0,0,0,0,0,8.96258122339233e-05,0,0,0,0.0112032265292404,0.053775487340354,8.96258122339233e-05,0,0,8.96258122339233e-05,0,0,0,0.246470983643289,0,0,0,0,0.026887743670177,0.0112032265292404,0,0,0,0,0,0,0,0,0,0,0,0,0
"control_dry_2021_3",0,0,0.0961795351322468,0,0,0,0,0,0,0.79615281859471,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160299225220411,0,0,0,0,0,0,0,0,0.0321132781191557,0.0587763825808175,0,0,0,0.000106866150146941,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106866150146941,0.000106866150146941,0,0,0,0,0,0,0.000106866150146941,0,0,0,0.000106866150146941,0,0
"control_dry_2021_4",0,0,0.100567912920019,0,0,0,0,0,0,0.165641268338855,0.354945575011832,0.0414103170847137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118315191670611,0,0,0,0,0,0,0,0,0.000118315191670611,0.295787979176526,0,0,0,0,0,0.000118315191670611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147893989588263,0,0.0147893989588263,0,0,0,0,0,0,0,0,0,0,0,0
"control_wet_2019_1",0,0.0149464064568476,0,0,0.0298928129136952,0,0.362984156809156,0,0.0597856258273904,0,0,8.5408036896272e-05,0,0.0042704018448136,0,0,8.5408036896272e-05,0,0.021352009224068,8.5408036896272e-05,0,0,0,0,0,0,0.0256224110688816,0.0170816073792544,0,8.5408036896272e-05,8.5408036896272e-05,0,0,0,0,0,0,0,0,0.0085408036896272,0,0,0.0128112055344408,0.0256224110688816,0,0,0.00217790494085493,0,0,0,0,8.5408036896272e-05,0,0,0,0,0,0.0170816073792544,0.0170816073792544,8.5408036896272e-05,0.0085408036896272,0.0170816073792544,0,0.128112055344408,0.222060895930307,0,0,0,0,0,8.5408036896272e-05,0,0,0.0042704018448136,0
"control_wet_2019_2",6.55329466889479e-05,0.0196598840066844,0,6.55329466889479e-05,0.00655329466889479,0.262131786755792,0.393197680133687,0,0.0327664733444739,0,0,0.0196598840066844,0,6.55329466889479e-05,6.55329466889479e-05,0,0.00986270847668665,0,0.00655329466889479,0,0,6.55329466889479e-05,0,0,0.00655329466889479,0,0.0655329466889479,0.0164160031455814,0,6.55329466889479e-05,0,0,0,0,0,0,6.55329466889479e-05,0,0,0.00330941380779187,0,0,0.0655329466889479,0,0,0,0,0,0,0,0,6.55329466889479e-05,0,0,0,0,0,0.0131065893377896,0,0,0,0,0,0,0.0655329466889479,0,0,0,0,0,0.00655329466889479,0,0,0.00655329466889479,0
"control_wet_2019_3",0,0,7.85576809772575e-05,0,0,0,0,0,0.00785576809772576,0.754153737381672,0.00396716288935151,0.0196394202443144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785576809772576,7.85576809772575e-05,0,0,0,0,7.85576809772575e-05,0,0,0.00200322086492007,0.031423072390903,0,0,0,0,0,0.00396716288935151,0,0,0,0,0,0,0,0,0,0,0,0,0.0471346085863545,0,0.0157115361954515,0,0,0.0274951883420401,0.00589182607329432,0,0.0157115361954515,0.0235673042931773,0,0,0,0,0,0.00785576809772576,0,0,0.0255312463176087,0
"control_wet_2019_4",0,0,0,0,0,0,0,0,0.0101988781234064,0.101988781234064,0.0254971953085161,0.652728199898011,0.0203977562468128,0,0,0,0.000101988781234064,0,0,0,0,0,0,0,0,0,0.0101988781234064,0,0,0,0,0,0,0,0,0.0305966343702193,0.0203977562468128,0,0,0.0101988781234064,0,0,0.0407955124936257,0,0,0,0,0,0,0.0101988781234064,0.000101988781234064,0.000101988781234064,0,0,0,0.000101988781234064,0,0,0,0,0.0509943906170321,0,0,0,0,0,0,0,0,0,0,0,0.000101988781234064,0.0152983171851096,0
"control_wet_2020_1",0,0.396039603960396,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247524752475248,0,0,0,0,0,0,0,0,0,0,0,0.099009900990099,0,0,0,0.0247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495049504950495,0,0,0.321782178217822,0.0247524752475248,0,0,0,0,0,0,0,0,0,0,0,0.0495049504950495,0
"control_wet_2020_2",0,0.333305557870178,0,0,0,0,0,0,0,0,0,0,0,0,0.00416631947337722,0,0,0,0,0,0,0,0,0,0,0,0.00833263894675444,0,0,0,0,0,0.00833263894675444,0,0,0,0.0208315973668861,0,0,0,0,0,0.270810765769519,0,0,0,4.16631947337722e-05,0,0,0,0,0,0.0416631947337722,0,0,0,0,0.124989584201317,0,0,0.145821181568203,4.16631947337722e-05,0,0,0,0,0,0,0,0,0,0,0,0.0416631947337722,0
"control_wet_2020_3",0,0,0,0,0,0,0,0,0,0.729166666666667,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666666667,0,0,0,0.104166666666667,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666666667,0.0104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"control_wet_2020_4",0,0,0,0,0,0,0,0,0,0,0.218321543969959,0.130992926381975,0.00873286175879836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261985852763951,0,0,0,0,0.00436643087939918,0,0,0,0.130992926381975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436643087939918,0,0,0,0,0,8.73286175879836e-05,0,0,0,0.261985852763951,0,0,0,0,0,0,0,0,0,0,0,0.174657235175967,0,0
"control_wet_2021_1",0,0.078509368784675,0,0,0,5.23395791897833e-05,0,0,5.23395791897833e-05,0.0392546843923375,0,0.00526012770857322,0,0.015701873756935,0,0,0,0,0,0,0,0,0.0104679158379567,0,0,0,0.0078509368784675,0.0131110645870407,0,0,0,0,0,0,0.00523395791897833,0,0,0,5.23395791897833e-05,0,0,0,0.261697895948917,0,0,0,0,0,0,0,0,5.23395791897833e-05,0,0,0,0.0523395791897833,0,0.0915942635821208,0.104679158379567,0,0,0,0,0,0.15701873756935,5.23395791897833e-05,0,0,0,0,0,0,0,0.15701873756935,0
"control_wet_2021_2",0,0.00491939019044372,0,0,0,0,0,0,9.74136671374994e-05,0.00491939019044372,9.74136671374994e-05,9.74136671374994e-05,0,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,0,0,0,0,0,0,0.00248404851200623,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,9.74136671374994e-05,9.74136671374994e-05,0.0146607569041937,0,0,0,0,0,0.267936291461692,0,0,0,0,0,0.00248404851200623,0,0,9.74136671374994e-05,0,0,0,0.681895669962496,0,9.74136671374994e-05,0,0,0,0,0,0,0.00979007354731869,0.0073547318688812,0,0,0,0,0,0,0.00248404851200623,0,0
"control_wet_2021_3",0,0,0.00503489531405783,0,0,0,0,0,0,0.94715852442672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97008973080758e-05,0,0,0,0,0,0,0,9.97008973080758e-05,9.97008973080758e-05,0.0299102691924227,0,0,0,0,0,0.00997008973080758,0,0,0,0,0,0,0,0,0.00498504486540379,0,0,0,0,0,0,0,0,9.97008973080758e-05,0,0,0,0,0,0,0,0,0,0,0,0.00254237288135593,0,0
"control_wet_2021_4",0,0,0.00234321157822192,0,0,0,0,0,9.18906501263496e-05,9.18906501263496e-05,0.707558005972892,0.0459453250631748,0.137835975189524,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18906501263496e-05,0,0,0,0,0,9.18906501263496e-05,0,0,0.0115322765908569,0.00234321157822192,0,0,0,0,0,0.00918906501263496,0,0,0,0,0,0,0,0.00459453250631748,0,0,0,0,9.18906501263496e-05,0,9.18906501263496e-05,0,0,0,0,0.0321617275442224,0,0,0.00459453250631748,0,0,0,0,0,0,0.0413507925568573,0,0
"+N fertilizer_control_2019_1",0,0.0279576906947486,0,0,0.00931923023158287,0,0.186384604631657,0,0,0.0559153813894972,0,0.0139788453473743,0,0.0186384604631657,0,0,0,0,9.31923023158287e-05,0,0,0,0,0,0,0,0.0186384604631657,0.00698942267368715,0,9.31923023158287e-05,9.31923023158287e-05,0,0,0,0,0,9.31923023158287e-05,0,0,0.00931923023158287,0,0,0.0139788453473743,0,0,0,0,0,0.00470621126694935,0,0,9.31923023158287e-05,0,0,0,0.00465961511579144,0,0.0652346116210801,0,0,0.00931923023158287,0.0186384604631657,0,0,0.512557662737058,0,0,0,0,0,0,0,0,0.0232980755789572,0
"+N fertilizer_control_2019_2",0,0.00242695345959836,0,0,0,0.0285523936423337,0.142761968211668,0,0.00951746454744456,0.0452079566003617,0,0.0380698581897782,9.51746454744456e-05,0,9.51746454744456e-05,0,0,9.51746454744456e-05,0,0,0,0,0,0,0.00475873227372228,0,0.0142761968211668,9.51746454744456e-05,0,9.51746454744456e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0190349290948891,0,0,0,0,0,0.00475873227372228,0,0,0.0048063195964595,0,0,0,0.0285523936423337,0,0.0142761968211668,0,0,0,0,0,0,0.642428856952508,0,0,0,0,0,9.51746454744456e-05,0,0,0,0
"+N fertilizer_control_2019_3",0,0,8.76808417360806e-05,0,0,0,0,0,8.76808417360806e-05,0.526085050416484,0,0.0657606313020605,0,0,0,0,8.76808417360806e-05,0,0,0,8.76808417360806e-05,0,0,0,0,0,8.76808417360806e-05,0,0,0,0,0,0,0,0,0.00876808417360806,0.0263042525208242,0,0,0,0,0,0.00438404208680403,0,0,0,0,0,0,0,0,0,0,0,0,0.00876808417360806,0,0,0,0,0.0657606313020605,0,0,0,0.0263042525208242,0,0,0,0,0,0.0350723366944323,0,0,0.232354230600614,0
"+N fertilizer_control_2019_4",0,0,0,0,0,0,0,0,0,0.451304269338388,0.0090712158137016,0.248217348136113,9.02608538676776e-05,0,0,0,0,0,0,0,0,0,0,0,0.00230165177362578,9.02608538676776e-05,0.0135391280801516,0,0,0,0,0,0,0,0,0.0180521707735355,0.00902608538676776,0,0,0,0,0,0.0226103438938532,0,0,0,0,0,0,0,0.00451304269338388,0,0,0,0,0.0451304269338388,0,0.0090712158137016,0,0,0.1399043234949,0,0,0,0.0270782561603033,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2020_1",0,0.361990950226244,0,0,0,0,0,0,0,0.226244343891403,0,0.0452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904977375565611,0,0,0,0,0,0,0,0,0,0,0,0.0180995475113122,0,0,0,0.0226244343891403,0,0,0,0,0,0,0,0,0,0,0,0,0.0226244343891403,0,0,0,0,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2020_2",0,0.230747930960219,0,0,0,0,0,0,0,0.00615327815893918,0,0.276897517152263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307663907946959,0,0,0,0,0,0.00307663907946959,0,0,0,0,0,0,0,0,0,0.00615327815893918,0,0,3.07663907946959e-05,0,0,3.07663907946959e-05,0,0,0,3.07663907946959e-05,0,0,0.230747930960219,0,0,0,0,0.215364735562871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2020_3",0,0,5.29044545550735e-05,0,0,0,0,0,0,0.0529044545550735,0,0.370331181885515,0,0,0,0,0,0,0,0,0,0,0,0,5.29044545550735e-05,0,0,0,0,0,0,0,0,0,0,0.00529044545550735,0.0529044545550735,0,0,0,0,0,0.0105808909110147,0,0,0,0,0,0,0,0,0,0,0,0,0.0529044545550735,0,0,0,0,0.00529044545550735,0,0,0,0,0,0,0,0,0,0,0,0,0.449687863718125,0
"+N fertilizer_control_2020_4",0,0,0,0,0,0,0,0,0,0.0413188992645236,0.371870093380712,0.0413188992645236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826377985290472,0,0,0,0,0,0,0,0,0.00826377985290472,0.0413188992645236,0,0,0,0,0,0.0165275597058094,0,0,0,0,0,0,0,0,0,0,0,0,0.45450789190976,0,0,0,0,0.0165275597058094,8.26377985290472e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2021_1",0,0.00611454171207168,0,0,0,0,0,0,0.00012108003390241,0.405618113573072,0,0.00012108003390241,0,0.00012108003390241,0,0,0,0,0,0,0,0,0,0,0,0,0.00012108003390241,0,0,0,0,0,0.00012108003390241,0,0,0.00012108003390241,0,0,0,0,0,0,0.0121685434071922,0,0,0,0,0,0.00012108003390241,0,0,0,0,0,0,0.51459014408524,0,0.00012108003390241,0.0242160067804819,0,0,0,0,0,0.0302700084756024,0.00605400169512048,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2021_2",0,0,0,0,0,0,0,0,0,0.00906957855789189,0,0.27073368829528,9.02445627650934e-05,0,0,0,0,0.00902445627650934,0,0,0,0,0,0,0.00230123635050988,0,9.02445627650934e-05,0,0,0,0,0,0.00902445627650934,0,0,0.00902445627650934,0,0,0,0,0,9.02445627650934e-05,0.00455735041963722,0,0,0,0,0,9.02445627650934e-05,0,0.00455735041963722,0,0,0,0,0.654273080046927,0,0,0,0,0,0,0,0,0.027073368829528,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2021_3",0,0,0.00229595282042047,0,0,0,0,0,9.00373655066853e-05,0.495205510286769,0,0.0900373655066853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00373655066853e-05,0,0,0,0,0,9.00373655066853e-05,0,0,0.11259172556611,0.121550443434025,0,0,0,0,0,0.0495205510286769,0,0,0,0,0,0,0,0,0,0,0,0,0.121550443434025,0,9.00373655066853e-05,0,0,0.00450186827533426,0.00229595282042047,0,0,0,0,0,0,0,0,0,0,9.00373655066853e-05,0,0
"+N fertilizer_control_2021_4",0,0,0,0,0,0,0,0,0,0.0948037306549144,0.0614943117761607,0.338218714768884,0,0,0,0,0,0,0,0,0,0,0,0,0.000102490519626934,0,0.00261350825048683,0,0,0,0,0,0.000102490519626934,0,0,0.0154248232038536,0.0128113149533668,0,0,0,0,0,0.0307984011478938,0,0,0,0,0,0,0,0.00773803423183355,0,0,0,0,0.435584708414472,0,0,0,0,0.000102490519626934,0,0,0,0,0.000102490519626934,0,0,0,0,0,0,0.000102490519626934,0,0
